method_label,family,dataset,n_samples,k,generation_seed,auroc,aurc,pcc,mean_clip_fraction
baseline,baseline,qa820,100.0,20,42.0,0.874384236453202,0.16566488620296074,-0.6216062252408828,
fc_0.1_99.9,fc,qa820,100.0,20,42.0,0.8727422003284072,0.16745783515533233,-0.6258863180859501,0.0018643808180958507
fc_0.2_99.8,fc,qa820,100.0,20,42.0,0.8598594460520875,0.16630326860858172,-0.5892328949142225,0.0033581369896054426
fc_0.5_99.5,fc,qa820,100.0,20,42.0,0.8764367816091954,0.16755207472823275,-0.6239583493019736,0.006814258630514905
