family,dataset,n_samples,k,mean_auroc,std_auroc,mean_aurc,std_aurc,mean_pcc,std_pcc,mean_num_correct,mean_num_incorrect,mean_clip_fraction,n_runs,result_label
baseline,qa820,820.0,20,0.7865702643613105,0.006113615489666773,0.22873036929524673,0.005324124505301982,-0.4590196832137307,0.01464621716108724,464.0,356.0,0.0,4,baseline_qa820_n820
baseline,triviaqa,100.0,20,0.744050764050764,0.03809670968075748,0.26468045069589136,0.018092615015908493,-0.3957059596394455,0.05568339623229179,54.0,46.0,0.0,4,baseline_triviaqa_n100
fc,qa820,300.0,20,0.8102054954287454,0.016611433522507133,0.19438641601137388,0.0050090507308422315,-0.5165713490807721,0.037752122502820645,180.0,120.0,0.006506728685554855,4,fc_qa820_n300_p05
