method_label,family,dataset,n_samples,k,mean_auroc,std_auroc,mean_aurc,std_aurc,mean_pcc,std_pcc,mean_num_correct,mean_num_incorrect,mean_clip_fraction,n_runs
baseline,baseline,qa820,300.0,20,0.8094281309215624,0.014864209347521785,0.19251808263777326,0.0066875710223793785,-0.5032344811684754,0.030015282461806077,180.33333333333334,119.66666666666667,0.0,4
fc_0.5_99.5,fc,qa820,300.0,20,0.8102054954287454,0.016611433522507133,0.19438641601137388,0.0050090507308422315,-0.5165713490807721,0.037752122502820645,180.0,120.0,0.006506728685554855,4
